stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.278000;version=20150903_v1;numObjects=370;numSpines=258;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-09-15,10:07:51,2015-09-15,10:07:51,3525156471.285000,3525156471.285000,,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,142.09,145.58,20,,,0,25,6.2284,-38.408,0,102.93,radius2,2,141.94,144.99,18.661,2013-02-06,12:11:44,2015-09-15,10:08:19,3442997504.000000,3525156499.173000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,137,144.27,21,,,0,40,11.152,-33.484,0,92.633,radius2,2,137.27,143.43,21.2,2013-02-06,12:11:44,2015-09-15,10:08:19,3442997504.000000,3525156499.175000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,113.15,137.34,23,,,0,115,37.618,-7.0184,0,98.004,radius2,2,113.92,136.11,23.233,2013-02-06,12:11:44,2015-09-15,10:08:19,3442997504.000000,3525156499.178000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,106.94,133.58,23,,,0,145,44.894,0.25729,0,84.737,radius2,2,108.33,132.23,23.922,2013-02-06,12:11:44,2015-09-15,10:08:19,3442997504.000000,3525156499.183000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,105.05,131.64,24,,,0,156,47.862,3.2257,0,97.549,radius2,2,106.17,130.23,24.017,2013-02-06,12:11:44,2015-09-15,10:08:19,3442997504.000000,3525156499.186000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,97.94,123.99,25,,,0,198,59.968,15.331,0,148.68,radius2,2,97.307,123.19,25.349,2013-02-06,12:16:00,2015-09-15,10:08:19,3442997760.000000,3525156499.188000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,87.98,117.79,24,,,0,244,72.634,27.998,0,143.46,radius2,2,87.12,116.45,25,2013-02-06,12:16:00,2015-09-15,10:08:19,3442997760.000000,3525156499.190000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,80.873,111.06,23,,,0,263,80.431,35.795,0,263.33,radius1,1,80.803,112,24,2013-02-06,12:16:00,2015-09-15,10:08:19,3442997760.000000,3525156499.192000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,87.551,114.23,24,,,0,245,73.143,28.507,0,249.2,radius1,1,87.501,115.05,25,2013-02-06,12:16:00,2015-09-15,10:08:19,3442997760.000000,3525156499.195000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
