stack=a5n_s0;stackdb=a5n_s0_db2;saveTime=3525316771.913000;version=20150903_v1;numObjects=386;numSpines=273;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-09-15,10:07:50,2015-09-15,10:07:50,3525156470.384000,3525156470.384000,,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,148.09,148.33,15,,,0,19,4.2999,-37.779,0,123.48,radius2,2,147.67,147.72,15.4,2013-02-06,11:46:08,2015-09-15,10:08:14,3442995968.000000,3525156494.503000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,143.6,147.72,16,,,0,29,8.3901,-33.689,0,96.48,radius2,2,143.94,146.36,16.048,2013-02-06,11:46:08,2015-09-15,10:08:14,3442995968.000000,3525156494.508000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,119.13,140.53,19,,,0,110,35.24,-6.8389,0,80.608,radius2,2,120.46,139.32,19,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.511000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,113.45,136.95,19,,,0,140,42.079,0,0,75.767,radius2,2,114.76,135.55,19.278,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.514000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,111.1,134.69,20,,,0,151,45.143,3.0637,0,79.067,radius2,2,112.52,133.73,20.057,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.516000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,103.7,127.37,20,,,0,195,56.482,14.402,0,63.514,radius2,2,104.36,126.94,20.55,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.518000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,94.509,121.08,20,,,0,236,69.104,27.025,0,140.74,radius2,2,93.919,119.99,20.4,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.520000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,87.395,114.78,18,,,0,255,76.902,34.822,0,250.86,radius1,1,87.617,115.56,19,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.522000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,94.472,117.6,20,,,0,237,69.614,27.534,0,248.75,radius1,1,94.361,118.59,20.2,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.524000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,99.333,120.21,20,,,0,225,64.973,22.894,0,276.24,radius1,1,98.429,121.06,20.6,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.526000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,102.06,121.41,21,,,0,217,61.497,19.418,0,277.34,radius1,1,100.97,122.83,21.858,2013-02-06,11:58:56,2015-09-15,10:08:14,3442996736.000000,3525156494.528000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,144.15,141.94,17,,,0,30,8.7929,-33.286,0,254.14,radius1,1,144.05,144.9,16.248,2013-02-06,12:03:12,2015-09-15,10:08:14,3442996992.000000,3525156494.530000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,142.06,142.71,18,,,0,35,10.742,-31.337,0,274.36,radius1,1,141.99,144.56,17.4,2013-02-06,12:24:32,2015-09-15,10:08:14,3442998272.000000,3525156494.533000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
