stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.327000;version=20150903_v1;,
idx,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,bsss,bssm,bSum,bMean,bSD,bN,bxyManual,bxPos,byPos,dSum,dMean,dSD,dN,dPlus,dMinus,bsds,bsdm,sp_struct,sp_am,den_am,,
0.000000,NaN,NaN,3525156471.285000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
1.000000,0.608769,1.470891,3525156499.173000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,121776.000000,1138.093458,949.479873,107.000000,107852.000000,1007.962617,13924.000000,130.130841,78.376821,107.000000,NaN,141.472473,149.157532,90871.000000,1489.688525,866.835981,61.000000,8.000000,8.000000,76947.000000,1359.557683,NaN,NaN,NaN,NaN,
2.000000,0.882326,0.904710,3525156499.175000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,208276.000000,1577.848485,1070.712030,132.000000,198197.000000,1501.492424,10079.000000,76.356061,49.221129,132.000000,NaN,135.919998,147.630005,107602.000000,1823.762712,658.600563,59.000000,NaN,NaN,97523.000000,1747.406651,NaN,NaN,NaN,NaN,
3.000000,1.451137,1.469724,3525156499.178000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,294114.000000,1730.082353,1100.417078,170.000000,260921.000000,1534.829412,33193.000000,195.252941,106.391655,170.000000,NaN,110.070000,139.357727,125073.000000,1421.284091,423.152970,88.000000,18.000000,18.000000,91880.000000,1226.031150,NaN,NaN,NaN,NaN,
4.000000,1.937679,2.145853,3525156499.183000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,316965.000000,1633.840206,869.603149,194.000000,282349.000000,1455.407216,34616.000000,178.432990,89.997053,194.000000,NaN,105.255363,138.979996,106936.000000,1370.974359,298.847352,78.000000,NaN,NaN,72320.000000,1192.541369,NaN,NaN,NaN,NaN,
5.000000,1.800694,1.800775,3525156499.186000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,300139.000000,1563.223958,905.535997,192.000000,252016.000000,1312.583333,48123.000000,250.640625,123.421302,192.000000,NaN,100.570000,133.678604,151094.000000,1438.990476,375.150726,105.000000,16.000000,16.000000,102971.000000,1188.349851,NaN,NaN,NaN,NaN,
6.000000,1.020142,1.078188,3525156499.188000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,192135.000000,1847.451923,917.196836,104.000000,142279.000000,1368.067308,49856.000000,479.384615,265.657978,104.000000,NaN,102.512283,129.230286,108891.000000,1756.306452,682.741619,62.000000,8.000000,8.000000,59035.000000,1276.921836,NaN,NaN,NaN,NaN,
7.000000,1.592231,1.880213,3525156499.190000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,206586.000000,1324.269231,882.989843,156.000000,-754.000000,-4.833333,207340.000000,1329.102564,784.690020,156.000000,NaN,94.604462,123.150002,69152.000000,1503.304348,800.046106,46.000000,NaN,NaN,-138188.000000,174.201784,NaN,NaN,NaN,NaN,
8.000000,0.942603,1.374227,3525156499.192000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,187093.000000,1355.746377,792.864474,138.000000,-52981.000000,-383.920290,240074.000000,1739.666667,677.586521,138.000000,NaN,81.153000,109.185204,3677.000000,1838.500000,23.334524,2.000000,NaN,NaN,-236397.000000,98.833333,NaN,NaN,NaN,NaN,
9.000000,0.821523,1.294179,3525156499.195000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,256038.000000,1984.790698,686.852566,129.000000,149373.000000,1157.930233,106665.000000,826.860465,561.192157,129.000000,NaN,89.394043,109.306953,69152.000000,1503.304348,800.046106,46.000000,NaN,NaN,-37513.000000,676.443883,NaN,NaN,NaN,NaN,
