stack=a5n_s2;stackdb=a5n_s2_db2;saveTime=3525316772.327000;version=20150903_v1;,
idx,sLen2d,sLen3d,intmSeconds,isDirty,intBad,intManual,spineWidth,extendHead,scaleRadius,zPlusMinus,sSum,sMean,sSD,sN,bsss,bssm,bSum,bMean,bSD,bN,bxyManual,bxPos,byPos,dSum,dMean,dSD,dN,dPlus,dMinus,bsds,bsdm,sp_struct,sp_am,den_am,,
177.000000,NaN,NaN,3525156499.478000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,21007.000000,140.986577,100.164256,149.000000,17124.000000,114.926174,3883.000000,26.060403,5.568041,149.000000,NaN,93.319832,106.103172,969.000000,242.250000,72.029508,4.000000,NaN,NaN,-2914.000000,216.189597,NaN,NaN,NaN,NaN,
178.000000,NaN,NaN,3525156499.480000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,12131.000000,77.762821,111.864152,156.000000,-35490.000000,-227.500000,47621.000000,305.262821,76.160451,156.000000,NaN,99.961990,119.953011,11779.000000,588.950000,111.129832,20.000000,NaN,NaN,-35842.000000,283.687179,NaN,NaN,NaN,NaN,
179.000000,NaN,NaN,3525156499.482000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,25269.000000,208.834711,240.665894,121.000000,5694.000000,47.057851,19575.000000,161.776860,86.116151,121.000000,NaN,92.301643,123.309639,1038.000000,519.000000,42.426407,2.000000,NaN,NaN,-18537.000000,357.223140,NaN,NaN,NaN,NaN,
180.000000,NaN,NaN,3525156499.488000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,29208.000000,169.813953,196.384068,172.000000,14075.000000,81.831395,15133.000000,87.982558,55.248558,172.000000,NaN,99.817238,125.758240,1417.000000,708.500000,7.778175,2.000000,NaN,NaN,-13716.000000,620.517442,NaN,NaN,NaN,NaN,
181.000000,NaN,NaN,3525156499.493000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,35398.000000,165.296482,144.717061,199.000000,21680.000000,96.361809,13718.000000,68.934673,38.925346,199.000000,NaN,107.988274,128.209991,14188965.000000,333.191617,99.617518,167.000000,NaN,NaN,14175247.000000,264.256943,NaN,NaN,NaN,NaN,
182.000000,NaN,NaN,3525156499.497000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,26726.000000,113.144796,91.350359,221.000000,18945.000000,77.936652,7781.000000,35.208145,14.003965,221.000000,NaN,110.033463,126.316536,15861000.000000,345.555556,127.558519,180.000000,NaN,NaN,15853219.000000,310.347411,NaN,NaN,NaN,NaN,
183.000000,NaN,NaN,3525156499.499000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,6869.000000,56.768595,36.120345,121.000000,-4442.000000,-36.710744,11311.000000,93.479339,75.748058,121.000000,NaN,81.124001,94.275963,582.000000,97.000000,4.816638,6.000000,NaN,NaN,-10729.000000,3.520661,NaN,NaN,NaN,NaN,
184.000000,NaN,NaN,3525156499.501000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,14287.000000,86.587879,79.398500,165.000000,10275.000000,62.272727,4012.000000,24.315152,13.874791,165.000000,NaN,94.953979,105.679024,718.000000,359.000000,9.899495,2.000000,NaN,NaN,-3294.000000,334.684848,NaN,NaN,NaN,NaN,
185.000000,NaN,NaN,3525156499.503000,0.000000,NaN,NaN,1.000000,1.000000,NaN,NaN,8762.000000,64.903704,55.511848,135.000000,-3021.000000,-22.377778,11783.000000,87.281481,37.731702,135.000000,NaN,76.134521,100.324524,12073.000000,219.509091,44.270997,55.000000,NaN,NaN,290.000000,132.227609,NaN,NaN,NaN,NaN,
186.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
187.000000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
