stack=a5n_s3;stackdb=a5n_s3_db2;saveTime=3525316772.448000;version=20150903_v1;numObjects=365;numSpines=257;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
0,globalPIvot,8,0,0,0,1,,NaN,,,,,,,,,,,2015-09-15,10:07:51,2015-09-15,10:07:51,3525156471.734000,3525156471.734000,,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,142.03,147.56,18,,,0,31,6.5731,-38.02,0,127.52,radius2,2,141.63,147,17.505,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.463000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,137.39,146.56,19,,,0,47,11.439,-33.154,0,126.64,radius2,2,137.06,145.6,18.979,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.468000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,118.88,142.4,20,,,0,108,31.407,-13.186,0,117.75,radius2,2,118.81,141.47,21.074,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.472000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,112.68,139.65,21,,,0,126,37.624,-6.9698,0,96.016,radius2,2,113.71,137.99,21.6,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.474000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,107.1,135.77,22,,,0,152,44.962,0.36861,0,94.027,radius2,2,108.16,134.2,21.609,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.476000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
1,spineROI,0,104.87,133.84,23,,,0,162,47.322,2.7289,0,76.657,radius2,2,106.2,132.84,22.019,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.478000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,97.412,126.04,22,,,0,204,59.791,15.198,0,110.38,radius2,2,97.354,125.38,23.753,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.481000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,80.624,113.22,21,,,0,269,80.093,35.5,0,248.13,radius1,1,80.843,114.13,21.832,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.483000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,87.492,116.38,22,,,0,252,73.04,28.447,0,263.61,radius1,1,87.161,117.13,23.036,2013-02-06,12:20:16,2015-09-15,10:08:21,3442998016.000000,3525156501.485000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
1,spineROI,0,92.284,119.25,23,,,0,238,67.743,23.149,0,266.23,radius1,1,91.82,119.96,23.553,2013-02-06,12:24:32,2015-09-15,10:08:21,3442998272.000000,3525156501.487000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
