stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525324133.652000;version=20150903_v1;numObjects=379;numSpines=263;voxelx=0.18;voxely=0.18;voxelz=1;,
i,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,error,,
22,pivotPnt,3,110.54,131.54,22,,,0,149,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
23,controlPnt,2,148.5,144.54,17,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
24,controlPnt,2,134.46,141.66,21,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
25,controlPnt,2,120.96,138.24,21,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
26,controlPnt,2,108,129.6,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
27,controlPnt,2,96.48,120.78,24,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
28,controlPnt,2,88.2,114.84,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
29,controlPnt,2,79.74,112.14,23,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,110.35,112.17,10,,,1,287,1.9557,-17.47,0,281.57,radius1,1,109.11,111.2,9.4806,2013-02-08,15:53:36,2015-09-17,08:17:48,3443183616.000000,3525322668.155000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
30,spineROI,0,128.19,95.987,6,,,1,391,27.411,7.9849,0,274.7,radius1,1,127.75,95.601,5.6847,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.901000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,130.53,94.825,8,,,1,404,30.522,11.096,0,265.73,radius1,1,130.01,93.697,6.8595,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.903000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,134.27,92.838,7,,,1,427,35.535,16.109,0,243.93,radius1,1,134.16,90.997,7.2667,2013-02-08,15:57:52,2015-09-17,08:17:48,3443183872.000000,3525322668.156000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
30,spineROI,0,141.57,89.017,7,,,1,462,43.968,24.542,0,270.6,radius1,1,140.79,87.292,6.0417,2013-02-08,15:57:52,2015-09-17,08:17:48,3443183872.000000,3525322668.156000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
30,spineROI,0,144.35,86.877,6,,,1,477,47.932,28.505,0,251.2,radius1,1,144.41,86.29,6.4001,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.909000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,146.03,82.831,6,,,1,488,50.208,30.782,0,85.118,radius2,2,146.06,84.291,6.4715,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.912000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,130.73,90.807,7,,,1,414,32.798,13.372,0,77.858,radius2,2,130.86,91.267,6.907,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.914000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,126.65,92.691,6,,,1,395,28.449,9.0227,0,79.438,radius2,2,127.47,93.868,6.6162,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.916000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,122.82,96.182,6,,,1,371,22.936,3.5101,0,104.1,radius2,2,123.39,96.816,6.4656,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.918000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,113.61,104.64,5,,,1,313,9.4497,-9.9764,0,49.001,radius2,2,113.72,105.88,5.8197,2013-02-08,15:57:52,2015-09-15,10:08:16,3443183872.000000,3525156496.925000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,126.21,94.175,6,,,1,389,26.898,7.4715,0,81.431,radius2,2,126.5,94.809,5.2683,2013-02-08,16:53:20,2015-09-15,10:08:16,3443187200.000000,3525156496.929000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,118.75,103.66,5,,,1,334,14.422,-5.0036,0,282.88,radius1,1,118.21,103.45,5.2051,2013-11-16,21:15:44,2015-09-15,10:08:16,3467481344.000000,3525156496.933000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,124.03,99.618,6,,,1,364,21.448,2.0219,0,293.94,radius1,1,122.81,98.93,5.9306,2013-11-16,21:15:44,2015-09-17,08:17:48,3467481344.000000,3525322668.157000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,123.03,101.72,7,,,1,357,20.072,0.6462,0,259.68,radius1,1,121.84,99.591,7.0261,2013-11-16,21:15:44,2015-09-17,08:17:48,3467481344.000000,3525322668.157000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,113.83,103.08,6,,,1,327,12.606,-6.8202,0,99.568,radius2,2,115.97,103.88,5.9802,2013-11-16,21:20:00,2015-09-15,10:08:16,3467481600.000000,3525156496.939000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,,,
30,spineROI,0,119.98,102.83,5,,,1,345,16.881,-2.5455,0,251.33,radius1,1,119.49,101.51,6.5893,2013-11-16,21:24:16,2015-09-15,10:08:16,3467481856.000000,3525156496.941000,Yong Zhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
47,pivotPnt,3,120.87,99.466,8.735,,,1,354,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
48,controlPnt,2,106.92,111.6,11,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
49,controlPnt,2,114.66,106.2,6,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
50,controlPnt,2,121.68,98.64,7,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
51,controlPnt,2,131.58,91.8,7,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
52,controlPnt,2,139.5,86.76,7,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
53,controlPnt,2,150.66,84.06,7,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
54,spineROI,0,138.68,120.14,7,,,2,526,2.5518,-5.6081,0,58.797,radius2,2,138.83,120.65,6.5013,2013-02-11,10:18:40,2015-09-15,10:08:16,3443422720.000000,3525156496.944000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
54,spineROI,0,141.55,115.64,15,,,2,547,7.6719,-0.48795,0,87.943,radius2,2,142.35,116.67,13.47,2013-02-11,10:22:56,2015-09-17,08:17:48,3443422976.000000,3525322668.158000,YongZhang,,,,0,,,,,,,,,,,,,,,,,ch1 Backbone seed error;ch2 Backbone seed error;,,
54,spineROI,0,149.14,106.38,30,,,2,602,21.066,12.906,0,75.604,radius2,2,149.98,107.72,29.795,2013-02-11,10:22:56,2015-09-17,08:17:48,3443422976.000000,3525322668.158000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
54,spineROI,0,155.9,104.5,35,,,2,621,26.839,18.679,0,240.14,radius1,1,154.4,103.93,34.898,2013-02-11,10:22:56,2015-09-17,08:17:48,3443422976.000000,3525322668.159000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
54,spineROI,0,148.69,113.24,26,,,2,581,16.405,8.2454,0,223.68,radius1,1,148.79,112.41,23.569,2013-02-11,10:22:56,2015-09-15,10:08:16,3443422976.000000,3525156496.952000,YongZhang,,,,0,,,,,,,,,,,,,,,,,,,
