stack=a5n_s1;stackdb=a5n_s1_db2;saveTime=3525156613.743000;version=20150903_v1;numHeaderRow=16;,
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,
,0,0,NaN,0,278,279,83.1,21,0.35,57,0,0,,
,1,1,NaN,279,514,236,55.1,17,0.35,57,0,0,,
,2,2,NaN,515,628,114,28.7,7,0.35,57,0,0,,
,3,3,NaN,629,748,120,28,8,0.35,57,0,0,,
,4,4,NaN,749,921,173,37.3,8,0.35,57,0,0,,
,5,5,NaN,922,1046,125,30.5,16,0.35,57,0,0,,
,6,6,NaN,1047,1300,254,57.5,17,0.35,57,0,0,,
,7,7,NaN,1301,1507,207,50.4,21,0.35,57,0,0,,
,8,8,NaN,1508,1738,231,81.8,23,0.35,57,0,0,,
,9,9,NaN,1739,1923,185,39.5,9,0.35,57,0,0,,
,10,10,NaN,1924,2338,415,103.1,18,0.35,57,0,0,,
,11,11,NaN,2339,2930,592,143.4,45,0.35,57,0,0,,
,12,12,NaN,2931,3152,222,58.4,14,0.35,57,0,0,,
,13,13,NaN,3153,3403,251,51.6,12,0.35,57,0,0,,
,14,14,NaN,3404,3618,215,47.6,12,0.35,57,0,0,,
,15,15,NaN,3619,3870,252,62.3,15,0.35,57,0,0,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,141.300003,142.919998,18.000000,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,7.708891,-36.528709,NaN,NaN,NaN,
NaN,NaN,140.759033,142.745453,18.017822,18.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.277323,-35.960281,NaN,NaN,NaN,
NaN,NaN,140.593094,142.618759,17.908369,18.000000,0.373026,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.486098,-35.751503,NaN,NaN,NaN,
NaN,NaN,140.389435,142.553223,17.492397,17.000000,0.391557,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.700042,-35.537560,NaN,NaN,NaN,
NaN,NaN,140.216705,142.498520,17.511414,18.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,8.881227,-35.356377,NaN,NaN,NaN,
NaN,NaN,139.857056,142.457169,17.297815,17.000000,0.519505,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.243246,-34.994354,NaN,NaN,NaN,
NaN,NaN,139.688843,142.525925,17.014545,17.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.424968,-34.812634,NaN,NaN,NaN,
NaN,NaN,139.125793,142.588409,19.000000,19.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,9.991474,-34.246128,NaN,NaN,NaN,
NaN,NaN,138.998520,142.262177,19.093763,19.000000,0.540000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,10.341655,-33.895947,NaN,NaN,NaN,
NaN,NaN,138.858047,142.028564,19.658939,20.000000,0.238805,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,10.614248,-33.623352,NaN,NaN,NaN,
NaN,NaN,138.419998,142.020004,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.052381,-33.185223,NaN,NaN,NaN,
NaN,NaN,138.060013,142.020004,20.000000,20.000000,0.180000,NaN,NaN,0.000000,NaN,NaN,NaN,NaN,11.412366,-32.825237,NaN,NaN,NaN,
